id,title,text,author
18,Afferra questo mercurio,"afferra questo mercurio, questa fredda gengiva, questo miele,
questa sfera di vetro arido;
misura attentamente la testa del nostro bambino
e non torcere adesso il suo piede impercettibile:
nel tuo capezzolo devi ormai convertire
un prolungato continente di lampade,
il fiato ossessivo dei giardini
critici, le pigre balene del ventre, le ortiche
e il vino, e la nausea e la ruggine;
perché ogni strada subito
vorrà corrergli incontro, un’ernia ombelicale incidere
il suo profilo di fumo, qualche ippopotamo donargli
i suoi denti di forfora e di fosforo nero:
evita il vento,
i luoghi affollati, i giocolieri, gli insetti;
e a sei mesi egli potrà raddoppiare il suo peso, vedere l’oca,
stringere la vestaglia, assistere alla caduta dei gravi;
strappalo dunque alla sua vita di alghe e di globuli, di piccoli nodi,
di indecisi lobi:
il suo gemito conquisterà le tue liquide ferite
e i suoi occhi di obliquo burro correggeranno questi secoli senza nome!",Edoardo Sanguineti
19,Quadernetto,"Un anno... Tratteneva la sua stella
il cielo dell’Avvento. Sulla bocca
senza febbre o paura la mia mano
ti disegnava, oscura, una parola.
E la sfera dell’anima e dell’anno
vibrava in cima a uno zampillo d’oro
alto e sottile il sangue.
                                          Ne tremavamo
sorridenti agli sguardi – all’accostarsi
buio di quel guardiano incorruttibile
che nei giardini chiude le fontane.
Capodanno ’53-’54",Cristina Campo
20,Sindbad,"L’aria di giorno in giorno si addensa intorno a te
di giorno in giorno consuma le mie palpebre.
L’universo s’è coperto il viso
ombre mi dicono: è inverno.
Tu nel vergine spazio dove si cullano
isole negligenti, io nel terrore
dei lillà, in una vampa di tortore,
sulla mite, domestica strada della follia.
Si stivano canapa, olive
mercati e anni... Io non chino le ciglia.
Mezzanotte verrà, il primo grido
del silenzio, il lunghissimo ricadere
del fagiano tra le sue ali.",Cristina Campo
21,Estate indiana,"Ottobre, fiore del mio pericolo –
primavera capovolta nei fiumi.
Un’ora m’è indifferente fino alla morte
– l’acero ha il volo rotto, i fuochi annebbiano –
un’ora il terrore di esistere mi affronta
raggiante, come l’astero rosso.
Tutto è già noto, la marea prevista,
pure tutto si ottenebra e rischiara
con fresca disperazione, con stupenda
fermezza...
                     La luce tra due piogge, sulla punta
di fiume che mi trafigge tra corpo
e anima, è una luce di notte
– la notte che non vedrò –
chiara nelle selve.",Cristina Campo
22,Elegia di Portland Road,"Cosa proibita, scura la primavera.
Per anni camminai lungo primavere
più scure del mio sangue. Ora tornano sul Tamigi
sul Tevere i bambini trafitti dai lunghi gigli
le piccole madri nei loro covi d’acacia
l’ora eterna sulle eterne metropoli
che già si staccano, tremano come navi
pronte all’addio...
                                  Cosa proibita
scura la primavera.
Io vado sotto le nubi, tra ciliegi
così leggeri che già sono quasi assenti.
Che cosa non è quasi assente tranne me,
da così poco morta, fiamma libera?
(E al centro del roveto riavvampano i vivi
nel riso, nello splendore, come tu li ricordi
come tu ancora li implori)",Cristina Campo
23,Le mani,"Queste tue mani a difesa di te:
mi fanno sera sul viso.
Quando lente le schiudi, là davanti
la città è quell'arco di fuoco.
Sul sonno futuro
saranno persiane rigate di sole
e avrò perso per sempre
quel sapore di terra e di vento
quando le riprenderai.",Vittorio Sereni
24,In me il tuo ricordo,"In me il tuo ricordo è un fruscìo
solo di velocipedi che vanno
quietamente là dove l'altezza
del meriggio discende
al più fiammante vespero
tra cancelli e case
e sospirosi declivi
di finestre riaperte sull'estate.
Solo, di me, distante
dura un lamento di treni,
d'anime che se ne vanno.
E là leggera te ne vai sul vento,
ti perdi nella sera.",Vittorio Sereni
25,Dimitrios,"Alla tenda s'accosta
il piccolo nemico
Dimitrios e mi sorprende,
d'uccello tenue strido
sul vetro del meriggio.
Non torce la bocca pura
la grazia che chiede pane,
non si vela di pianto
lo sguardo che fame e paura
stempera nel cielo d'infanzia.
È già lontano,
arguto mulinello
che s'annulla nell'afa,
Dimitrios, su lande avare
appena credibile, appena
vivo sussulto
di me, della mia vita
esitante sul mare.",Vittorio Sereni
26,Fissità,"Da me a quell'ombra in bilico tra fiume e mare
solo una striscia di esistenza
in controluce dalla foce.
Quell'uomo.
Rammenda reti, ritinteggia uno scafo.
Cose che io non so fare. Nominarle appena.
Da me a lui nient'altro: una fissità.
Ogni eccedenza andata altrove. O spenta.",Vittorio Sereni
27,Viaggio di andata e ritorno,"Andrò a ritroso della nostra corsa
di poco fa
che tanto bella mai ti sorprese la luna.
Mi resta una città prossima al sonno
di prima primavera.
O fuoco che ora tu sei
dileguante, o ceneri confuse
di campagna che annotta e si sfa,
o strido che sgretola l'aria
e insieme divide il mio cuore.",Vittorio Sereni
28,Ancora sulla strada di Zenna,"Perché quelle piante turbate m'inteneriscono?
Forse perché ridicono che il verde si rinnova
a ogni primavera, ma non rifiorisce la gioia?
Ma non è questa volta un mio lamento
e non è primavera, è un'estate,
l'estate dei miei anni.
Sotto i miei occhi portata dalla corsa
la costa va formandosi immutata
da sempre e non la muta il mio rumore
né, più fondo, quel repentino vento che la turba
e alla prossima svolta, forse finirà.
E io potrò per ciò che muta disperarmi
portare attorno il capo bruciante di dolore.
Ma l'opaca trafila delle cose
che là dietro indovino: la carrucola nel pozzo,
la spola della teleferica nei boschi,
i minimi atti, i poveri
strumenti umani avvinti alla catena
della necessità, la lenza
buttata a vuoto nei secoli,
le scarse vite, che all'occhio di chi torna
e trova che nulla nulla è veramente mutato
si ripetono identiche,
quelle agitate braccia che presto ricadranno,
quelle inutilmente fresche mani
che si tendono a me e il privilegio
del moto mi rinfacciano.
Dunque pietà per le turbate piante
evocate per poco nella spirale del vento
che presto da me arretreranno via via
salutando salutando.
Ed ecco già mutato il mio rumore
s'impunta un attimo e poi si sfrena
fuori da sonni enormi
e un altro paesaggio gira e passa.",Vittorio Sereni
29,Autostrada della Cisa,"Tempo dieci anni, nemmeno
prima che rimuoia in me mio padre
(con malagrazia fu calato giù
e un banco di nebbia ci divise per sempre).
Oggi a un chilometro dal passo
una capelluta scarmigliata erinni
agita un cencio già spento, e addio.
Sappi- disse ieri lasciandomi qualcuno-
sappilo che non finisce qui,
di momento in momento credici a quell’altra vita,
di costa in costa aspettala e verrà
come di là dal valico un ritorno d’estate.
Parla così la recidiva speranza, morde
in un’anguria la polpa dell’estate,
vede laggiù quegli alberi perpetuare
ognuno in sé la sua ninfa
e dietro la raggera degli echi e dei miraggi
nella piana assetata il palpito di un lago
fare di Mantova una Tenochititlàn
Di tunnel in tunnel di abbagliamento in cecità
tendo una mano. Mi ritorna vuota.
Allungo un braccio. Stringo una spalla d’aria.
Ancora non lo sai
-sibila nel frastuono delle volte
la sibilla, quella
che sempre più ha voglia di morire –
non lo sospetti ancora
che di tutti i colori il più forte
il più indelebile
è il colore del vuoto?",Vittorio Sereni
30,In una casa vuota,"Si ravvivassero mai. Sembrano ravvivarsi
di stanza in stanza, non si ravvivano
veramente mai in questa aria di pioggia. Si è
ravvivata - io veggente di colpo nella lenta schiarita -
una ressa là fuori di margherite e ranuncoli.
Purchè si avesse.
Purchè si avesse una storia comunque
- e intanto Monaco di prima mattina sui giornali
ah meno male: c’era stato un accordo -
purchè si avesse una storia squisita tra le svastiche
sotto la pioggia un settembre.
Oggi si è - e si è comunque male,
parte del male tu stesso tornino o no sole e prato coperti.",Vittorio Sereni
31,Domenica dopo la guerra,"Per due che si ritrovano in una
domenica dopo la guerra
allora può
rifiorire il deserto del mare?
...amami - lui dice - di ritorno
amami a tutta forza con forza
di rivalsa per tutti questi anni...
Ma
...nei primi tempi di guerra
quando le domeniche non erano
che blanda disperazione, stordimento
di campane, rimasuglio
di fumo attardatosi al largo
dell’ultimo postale da Amsterdam...
E si divorano con gli occhi, si
cercano si tendono le mani
di nascosto sulla fiandra del tavolo.
...mare per anni solitario
di anni computabili in onde
braccio di mare divenuto attonito
di tempo pietrificato in spazio
di mutismo...
Rifiorire può dunque il deserto del mare?
Ma no che si annusano e studiano
gentili e teneri quasi
- britannico lui lei fiamminga -
e poi si buttano a trattare l'affare
oggi che nemmeno è domenica.",Vittorio Sereni
32,Periferia 1940,"La giovinezza è tutta nella luce
d’una città al tramonto
dove straziato ed esule ogni suono
si spicca nel brusio.
E tu mia vita salvati se puoi
serba te stessa al futuro
passante e quelle parvenze sui ponti
nel baleno dei fari.",Vittorio Sereni
33,Questa sfusa felicita’ che assale,"Questa sfusa felicità che assale
le facce al sole,
i gomiti e le giacche
– quante dolcezze
sparse nel mercato,
come son belli
gli uomini e le donne!
E vado dietro all’uno
e guardo l’altra,
sento il profumo
inseguo la sua traccia,
raggiungo il troppo
ma il troppo non mi abbraccia.",Patrizia Cavalli
34,Adesso che il tempo sembra tutto mio,"Adesso che il tempo sembra tutto mio
e nessuno mi chiama per il pranzo e per la cena,
adesso che posso rimanere a guardare
come si scioglie una nuvola e come si scolora,
come cammina un gatto per il tetto
nel lusso immenso di una esplorazione, adesso
che ogni giorno mi aspetta
la sconfinata lunghezza di una notte
dove non c’è richiamo e non c’è più ragione
di spogliarsi in fretta per riposare dentro
l’accecante dolcezza di un corpo che mi aspetta,
adesso che il mattino non ha mai principio
e silenzioso mi lascia ai miei progetti
a tutte le cadenze della voce, adesso
vorrei improvvisamente la prigione.
Quante tentazioni attraverso
nel percorso tra la camera
e la cucina, tra la cucina
e il cesso. Una macchia
sul muro, un pezzo di carta
caduto in terra, un bicchiere d’acqua,
un guardar dalla finestra,
ciao alla vicina,
una carezza alla gattina.
Così dimentico sempre
l’idea principale, mi perdo
per strada, mi scompongo
giorno per giorno ed è vano
tentare qualsiasi ritorno.
Addosso al viso mi cadono le notti
e anche i giorni mi cadono sul viso.
Io li vedo come si accavallano
formando geografie disordinate:
il loro peso non è sempre uguale,
a volte cadono dall’alto e fanno buche,
altre volte si appoggiano soltanto
lasciando un ricordo un po’ in penombra.
Geometra perito io li misuro
li conto e li divido
in anni e stagioni, in mesi e settimane.
Ma veramente aspetto
in segretezza di distrarmi
nella confusione perdere i calcoli,
uscire di prigione
ricevere la grazia di una nuova faccia.
E’ tutto così semplice,
sì, era così semplice,
è tale l’evidenza
che quasi non ci credo.
A questo serve il corpo:
mi tocchi o non mi tocchi,
mi abbracci o mi allontani.
Il resto è per i pazzi.",Patrizia Cavalli
35,Sempre aperto teatro,"Indietro, in piedi, da lontano,
di passaggio, tassametro in attesa
la guardavo, i capelli guardavo,
e che vedevo? Mio teatro ostinato,
rifiuto del sipario, sempre aperto teatro,
meglio andarsene a spettacolo iniziato.
O amori – veri o falsi
siate amori, muovetevi felici
nel vuoto che vi offro.
Tutto mi appare in bella superficie
e poi scompare. Perché ritorni
la figura io mi sfiguro, offro
i miei pezzi in prestito o in regalo,
bellezza sia visibile, formata,
guardarla da lontano, anche sfocata,
purché ci sia, purché ci sia, anche non mia.",Patrizia Cavalli
36,Poesie per colazione,"Era alla luce terribilmente sabato,
quel sole infimo che annunzia svogliatezze
mentre nella piazza fin dentro le mie finestre
chiuse si muoveva il mercato prolungato.
L’ultima offerta e poi si chiude. Poi la festa
untuosa e il silenzio. Già si smontavano
i banchetti con la ferocia trasandata
della fine. Forse era possibile
una corsa per prendere qualcosa, forse
restava qualche cassetta ancora non riposta.
Ma non mi decidevo a quella corsa.
Quando scendevo ormai era tardi
tra i mucchi di foglie di carciofi
e i pomodori sfatti dove una vecchietta china
correva rapace alla riscossa di mezze mele
di peperoni buoni per tre quarti.
Ma io non cercavo frutta marcia o fresca,
io volevo soltanto la certezza
della settimana che finisce,
dell’occasione persa.",Patrizia Cavalli
37,Io scientificamente mi domando,"Io scientificamente mi domando
come è stato creato il mio cervello,
cosa ci faccio io con questo sbaglio.
Fingo di avere anima e pensieri
per circolare meglio in mezzo agli altri,
qualche volta mi sembra anche di amare
facce e parole di persone, rare;
esser toccata vorrei poter toccare,
ma scopro sempre che ogni mia emozione
dipende da un vicino temporale.",Patrizia Cavalli
38,"Bene, vediamo un po’ come fiorisci","Bene, vediamo un po’ come fiorisci,
come ti apri, di che colore hai i petali,
quanti pistilli hai, che trucchi usi
per spargere il tuo polline e ripeterti,
se hai fioritura languida o violenta,
che portamento prendi, dove inclini,
se nel morire infradici o insecchisci,
avanti su, io guardo, tu fiorisci.",Patrizia Cavalli
39,Un gatto che dorme il pomeriggio,"Un gatto che dorme il pomeriggio
nel larghissimo letto padronale
in un punto qualunque, però comodo,
che si sveglia in un’ora qualunque,
perchè qualcuno passa e lo carezza,
non si sveglia del tutto nè si chiede
chi è che lo carezza, ma si sporge
dal sonno solo un pò
per stirarsi in arrendevole lunghezza
perchè duri di più quella carezza.
Forse così potrebbe essere l’amore.",Patrizia Cavalli
40,Caino,"Guardami –
Io
con dita di ingegno e brace
ho appeso al sangue le popolazioni in navate di gelo
ho spinto rotto e sepolto
gli inermi della terra
ho vinto tante di quelle volte
facilmente ho battuto
ho stretto ho colpito forte ho atterrito ho acceso con ira improvvisa
tinto d’un fosco
la primavera di tutti
nel precipizio di un furore senz’argine impossibile da barricare
ho tinto l’istante d’un sanguigno somigliante al mio
quando gonfiava vicino a me, in me uno strano scuro animale
in spinte
dalle profondità
un getto in risalita furibonda
da un ignoto di me
da un buio di me
da oscure regioni dal fondo di me da un dentro del dentro di me - sua massa d’ombra gonfiava d’una marea potente
fino al trabocco dal petto
in una peste
in uno sbattere contro altra carne e mutilarla e penarla
in un silenzio
dove l’ultimo gemito si raggruma in freddo fratello
e apre un tacere che non smetterà.
Non smetterà di morire
questa vita
che passa da una carne a quell’altra non smetterà questa bestia
la sua risalita dal petto.
Nasce ora, in questa notte un altro più simile a me. Nasce continuamente.
E io questa notte
in quest’ora
per lui e per me. Ho pietà.",Mariangela Gualtieri
41,Preghiera dell’Alato,"Tu che ti nascondi dentro tutti i nomi.
Se tu fossi.
Se tu fossi una madre. Lui non scantonerebbe cercandoti. Rovistando dentro particelle
atomi e formule non si sbatterebbe
su tavolacci a tagliare il cadavere più solo
lui non calpesterebbe le belle forme del mondo se tu apparissi. Se tu consolassi
come la cagna in leccate il suo nato dolorante.
Se tu. Se tu partorissi. Se tu
con un latte semplice e una tazza
appari. Se tu. Per la sua voglia
d’essere immenso e senza morte se tu
per questo suo pestare
e fare male. Se tu appari
lui non dà da mangiare veleno
non raschia fino all’erosione
non inficca la mano nella costellazione
e l’atomo spaccato lo ricompone
se vuoi. Se glielo chiedi se appari. Se guidi in chiarità. Se tieni. Se ripari. Se stringi
al petto. Se vieni a lui.
“Contano infiniti cadaveri. Sono l’ultima specie umana”. Sporgenti su una rovina che plana a colpi d’ala nera, a becco, a unghiate.
Le ore sono alla fine. La terra respira poco. Fa fatica.
Sale un’indifferenza di ferite un dondolare senza meta. Se tu che cavalchi gli abissi, tu
che puoi ciò che ti piace
appari ora
e piloti la terra in fiorite
loro pietrificate menti
loro indurite porte eccole aperte!
Tu che detti architetture sontuose
agli insetti e insegni ai becchi il cerchio dei nidi e tane assai ingegnose e manovre
di piume e colori perché il seme si attacchi
tu mano nascosta e che nascondi.
Hai sponde troppo alte per i suoi arti manovre misteriose, gittate troppo lunghe.
Adesso guarda. Ascolta la sua voce questo suono suo sillabante
i suoi verbi. Le sue vocali non sono altro che la tua furia respirante
le sue consonanti tu le hai strappate fuori da una gola di bestia mutante.
Vedi non sa. Non sa più niente ora.
E’ qui balbettante. E’ nudo. Incerto.
Ha solo la parola per chiamarti. Vieni.
Vuole perdonarti. Dell’imperfetto con cui lo hai fatto. Vieni. Non avere paura di lui. Ti perdona. Sì ti perdona.",Mariangela Gualtieri
42,Un nome che può essere Salim,"Stacco tutto e me ne vado:
è grosso, una stampella per parte
L’altro non sa scrivere il nome
Somalo? Etiopia. E te pareva,
quante possibilità ciàvevo, su un mijjone
Promiscuità, è questo a definirci
nell’anticamera del reparto dove il sonno ci intuba:
staccati gli aghi ci sveglieremo tutti sani o più malati
a digiuno
e niente acqua dalla mezzanotte
Mettiamo un po’ di musica così ce passa,
s’infila i guanti per Salim, lui non sa scriverlo
ma lei lo ha imparato col tu democratico",Gilda Policastro
43,Precari,"Mamma tu lo sai
che a un idiota qualunque
se va a leggere su un palco
(li chiamano slam poetry)
gli danno quanto meno cento euro
(lo chiamano gettone di presenza)
e se lo vince ci può campare un mese,
certo senza pretese
Mamma mi ricordo quando non camminavi
papà a spingerti giù nel corridoio
overlook dice un poeta di oggi, come in Shining,
e tu battevi i piedi, invece,
come un bambino al mare
Mamma tu lo sai che oggi
se va bene mi rinnovano il contratto
ma devo sorridere, carina e ben vestita
(da ricercatrice a tempo, che hai capito da velina)
Mamma ti ricordi com’eri bella nelle foto
in cui ci somigliamo
(meno disoccupata tu,
meno gettone di presenza
una supplenza tre figli e
– lo leggevi Céline? – l’atroce
farsa del durare)
ma lo sai che adesso
puoi lavorare gratis, se ti dice male,
e un fidanzato a tempo lo rimedi:
precario oggi è come postmoderno ieri,
come il nero,
si mette dappertutto che non stona
Mamma tu nelle foto eri bella,
mentre ora che ci guardano le telecamere
ti prendi, magari, un’ombrellata
e se ne muori
almeno sai chi è stato
Mamma gli altri miei amici hanno le mamme
che sorridono, a volte, tutte vive
(le tue medicine impilate
più il potassio per ripristinare i liquidi),
e adesso, sì, ti porterei dove volevi andare,
in quel posto molto chic a San Lorenzo:
dieci euro e mangi una, due prese,
alla terza ti guardano male (lo chiamano happy hour),
e ti farei leggere quello che scrivo
quando dicevi
la dobbiamo far vedere non è normale,
o ti potrei presentare i fidanzati,
pure quel curdo di cui diresti non sia mai
Mamma ti vengo a prendere, alzati,
dai aria alla stanza e, soprattutto,
fatti trovare
degli ospedali
Scrollo le poesie del poeta operaio
dice rinchiudi un porco nel reparto
noi aspettiamo in fila dopo il girotondo
del rispondi alle domande
(allergie, farmaci, malattie importanti)
poi spostati tu da quella parte
(a fissargli l’ago, senza i guanti)
Siamo in quattro, guardiamo un po’ in aria
un po’ ci sorridiamo mentre Salim non ha capito
che deve togliersi la giacca
Glielo mimo pensando al cianciare brutto
di ogni Facebook sui cosiddetti #migranti
(categoria che vorrebbe smarcarsi)
Siamo fermi in questo spazio che ci contiene
insieme al tempo che a dispetto della musica non passa
Saremo fuori, prima o dopo, saremo a casa
Salim forse resta, l’infermiera ha detto il nome
del suo male che non ha capito lui solo,
finalmente senza giacca
 ",Gilda Policastro
44,Così poi forse divento brava,"Legatemi la testa, non voglio morire
(nessun suicida vorrebbe mai)
Alternativa tra giù e le fiamme
rincorsa e oplà
imparare a stare al mondo
come si passa dalla pianta al vortice
dal cumulo alla sintassi
Verticalizza il dolore nella serie (elenco di farmaci,
a seguire)
ammorbidisci
(rilascia, incapsula, guarisci)
oppure dilacerato, a stacchi (incisioni soprapelle, che si vedano,
che ti facciano, poi, quelle domande,
collaterali, effetti: tutti)
offrilo ai vicini, compassione: condiviso come nei giorni buoni
scomponi i filamenti
(molecole, principi attivi, rifinitura)
La scorciatoia è ribellarti all’escussione
con l’attivismo della tana
ordina in piccole azioni lente precise
il tratto quotidiano dalla testa all’arto, uno:
il cinismo non guarisce nessuno
(dormi con un cane: ti sveglierai?)
Guardatemi, scompaio",Gilda Policastro
